Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
clickOnOurStoresLink-61,25,3334,3034,4834,5329,8604,1196,8604,0.000%,.01826,0.51,0.01
SelectPaymentMethod-106,50,4676,4399,6459,6858,9008,1501,9008,0.000%,.03519,0.92,0.06
shopingCartPage,25,3461,3476,4710,5528,5632,1335,5632,0.000%,.01820,1.46,0.01
SelectCategory-69,50,221,205,305,306,307,194,307,100.000%,.03245,0.01,0.02
SelectCategory-66,50,3815,3785,4932,5231,7154,1430,7154,0.000%,.03227,1.78,0.02
orderProducts-90,50,2800,2742,4199,4503,5835,761,5835,0.000%,.03589,0.93,0.03
searchProductByName-58,25,241,212,304,307,307,196,307,100.000%,.01818,0.01,0.01
SelectCategory-81,50,4150,4277,5622,5836,6347,1843,6347,0.000%,.03296,2.32,0.03
addProductToCart-85,50,2913,2493,4911,5324,6135,1049,6135,0.000%,.03559,0.61,0.04
clickOnManufacurerLink-68,25,4156,3882,5389,6652,7478,2214,7478,0.000%,.01818,1.37,0.01
clickOnCategoryLink-23,25,3768,3478,5524,5833,5932,2145,5932,0.000%,.01818,1.00,0.01
SearchProduct-20,25,3455,3235,4410,5317,6752,1943,6752,0.000%,.01817,0.92,0.01
SelectPaymentOption-105,50,2820,2867,3961,4530,5832,197,5832,2.000%,.03373,0.86,0.03
userLogout-18,25,2793,2824,3974,3991,4383,1390,4383,0.000%,.01820,0.63,0.01
SearchProductByName-59,25,242,206,304,312,509,198,509,100.000%,.01824,0.01,0.01
SearchProduct-3,25,2477,2377,2966,4616,5322,1055,5322,0.000%,.01820,0.01,0.01
SearchProduct-4,25,3213,3232,3989,4585,6845,1273,6845,0.000%,.01820,0.90,0.01
identityPage,50,4831,4416,6653,7532,9832,2855,9832,0.000%,.03476,1.21,0.05
SelectCategory-77,50,3647,3375,4627,5426,5955,2204,5955,0.000%,.03062,1.68,0.02
SelectCategory-62,50,3963,3780,4850,5105,7372,2353,7372,0.000%,.03436,2.22,0.03
clickOnCategory-39,25,4000,3815,5116,5226,5528,2146,5528,0.000%,.01825,1.77,0.01
clickonPriceDrop-72,25,3148,2862,4183,4707,5835,1443,5835,0.000%,.01827,1.00,0.01
signOut-84,25,2576,2558,3502,3635,3781,1373,3781,0.000%,.01828,0.63,0.01
submitOrder-99,50,2913,2660,3995,4445,5120,1370,5120,0.000%,.03148,0.81,0.03
clickOnCategory-71,25,4174,4088,5197,5602,5629,2560,5629,0.000%,.01828,1.77,0.01
clickOnCategoryLink-50,25,4123,4000,5011,5294,6235,2655,6235,0.000%,.01828,1.77,0.01
clickOnCategory-36,25,4315,4516,5316,5629,6868,2450,6868,0.000%,.01831,1.78,0.01
SelectCategory-68,50,216,205,250,283,305,193,305,100.000%,.03517,0.01,0.02
clickOnCategory-42,25,4133,4092,5001,5652,5932,2661,5932,0.000%,.01834,1.78,0.01
SearchProductByPrice-61,25,247,208,305,307,314,194,314,100.000%,.01842,0.01,0.01
clickOnOrderLink-73,25,4356,4197,5222,5899,6858,2888,6858,0.000%,.01836,0.65,0.02
addProductToCart-39,25,2679,2215,4290,5707,6857,1123,6857,0.000%,.01842,0.31,0.02
myAccountPage-74,25,4371,4072,5615,6518,8486,2496,8486,0.000%,.01845,0.65,0.02
storeMapLocation-65,25,91,82,103,149,151,77,151,0.000%,.01851,0.01,0.01
OrderConfirmation-107,50,6888,6757,10027,10250,13341,3755,13341,0.000%,.03257,1.14,0.08
clickOnCategoryLink-25,25,4749,4302,6721,7573,7987,3170,7987,0.000%,.01841,1.79,0.01
myAccountPage-17,50,4946,4689,6449,7371,8498,2551,8498,0.000%,.03588,1.25,0.05
contactUsPage-80,25,3131,2864,4501,4609,5314,1713,5314,0.000%,.01838,0.53,0.01
clickOnCategory-38,25,4601,4124,5409,8453,9310,2975,9310,0.000%,.01837,1.78,0.01
addProductToCart-87,50,3450,2681,5826,6485,7518,1226,7518,0.000%,.03415,0.58,0.04
homePage,25,4037,3683,5717,5821,6652,2558,6652,0.000%,.01841,1.47,0.01
clickOnCategoryLink-20,25,4583,4513,5832,6244,8290,195,8290,4.000%,.01838,1.55,0.01
clickOnCategoryLink-21,25,4242,4362,5835,7373,7445,218,7445,4.000%,.01844,0.98,0.01
SelectShippingDeliveryOption-102,50,2998,2856,4086,4200,5368,1049,5368,0.000%,.03666,0.94,0.03
myAccountPage-70,25,5392,5300,6323,6510,7126,3018,7126,0.000%,.01834,0.65,0.02
clickOnAddToCart-43,25,5005,5072,5732,6052,7916,2954,7916,0.000%,.01836,1.78,0.01
SearchProduct-1,25,2848,2660,3863,3997,4001,567,4001,0.000%,.01838,0.00,0.01
SelectCategoryByPrice-76,50,270,207,307,450,851,195,851,100.000%,.03500,0.01,0.02
/index.php-76,25,4738,4842,5733,6350,6666,3015,6666,0.000%,.01835,1.78,0.01
addProductToCart-83,50,3399,2713,5761,6359,7680,1071,7680,0.000%,.03505,0.60,0.04
SelectCategory-70,50,242,206,311,455,510,194,510,100.000%,.03479,0.01,0.02
clickOnCategory-29,25,4724,4999,5828,6023,6448,2931,6448,0.000%,.01834,1.78,0.01
SelectCategory-71,50,4469,4299,5632,6242,7067,2330,7067,0.000%,.03465,3.04,0.03
OrderProducts-95,50,3108,2969,4477,5035,5593,1441,5593,0.000%,.03578,0.92,0.03
clickOnAddToCart-46,25,6300,6037,8077,9341,10033,3598,10033,0.000%,.01828,1.48,0.02
clickOnAddToCart-44,25,6239,6130,7823,8902,10110,3183,10110,0.000%,.01822,1.47,0.02
clickOnCategoryLink-19,25,4934,4607,6449,7780,8081,2966,8081,0.000%,.01825,1.77,0.01
addProductToCart-79,50,3518,2836,6036,7262,7882,1496,7882,0.000%,.03583,0.61,0.04
storeMap-64,25,101,82,149,155,160,78,160,0.000%,.01834,0.02,0.02
clickaddressLink-75,25,5536,5489,7499,8860,8995,2680,8995,0.000%,.01829,0.64,0.02
addProductToCart-17,25,3564,3012,5185,6924,7571,1351,7571,0.000%,.01834,0.31,0.02
validLogin,25,3276,2948,4383,4969,5624,2038,5624,0.000%,.01838,0.63,0.03
SearchProductbyPrice-13,25,3911,3806,5104,5915,6516,1917,6516,0.000%,.01845,0.92,0.02
clickOnCategoryLink-54,25,5052,4705,6707,7870,8264,2976,8264,0.000%,.01844,1.79,0.01
clickOnAddCartLink-60,25,6407,5911,8381,9521,9588,3551,9588,0.000%,.01852,1.50,0.02
SearchProduct-19,25,3519,3579,5123,5502,5527,2070,5527,0.000%,.01854,0.92,0.02
clickOnCategoryLink-52,25,4564,4412,5734,5992,6041,3003,6041,0.000%,.01849,1.79,0.01
SearchProduct-2,25,2655,2456,3566,3786,4403,1458,4403,0.000%,.01849,0.01,0.01
myAccountPage,25,4917,4624,6492,7196,7217,2948,7217,0.000%,.01846,0.64,0.02
addProductToCart-60,25,3172,2773,5155,7065,8176,1226,8176,0.000%,.01852,0.32,0.02
searchProductByCategory-40,25,3540,3583,4502,4810,4865,1733,4865,0.000%,.01860,1.02,0.01
clickOnCategoryLink-49,25,4306,4313,5180,5836,6141,2935,6141,0.000%,.01860,1.80,0.01
clickOnFindStoreLink-66,25,89,82,110,125,134,77,134,0.000%,.01866,0.01,0.01
clickStoreLocationLink-63,25,111,96,126,216,253,85,253,0.000%,.01867,0.10,0.01
clickOnAccountHistory-69,25,4514,4186,5810,6799,8499,1924,8499,0.000%,.01864,0.66,0.02
TOTAL,2425,3408,3464,5799,6735,8499,77,13341,11.464%,1.44155,60.86,1.20
1626155819970,209,SelectCategory-69,403,Forbidden,Thread Group 1-1,text,false,,428,608,2,2,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754343,209,0,0
1626155823246,305,searchProductByName-58,403,Forbidden,Thread Group 1-1,text,false,,428,568,2,2,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=7&layered_price_slider=26_28&orderby=name&orderway=desctrue&_=1625726707731,305,0,0
1626155825396,306,SelectCategory-69,403,Forbidden,Thread Group 1-2,text,false,,428,608,2,2,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754343,305,0,0
1626155828633,202,searchProductByName-58,403,Forbidden,Thread Group 1-2,text,false,,428,568,3,3,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=7&layered_price_slider=26_28&orderby=name&orderway=desctrue&_=1625726707731,202,0,0
1626155832445,199,SelectCategory-69,403,Forbidden,Thread Group 1-3,text,false,,428,608,4,4,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754343,199,0,0
1626155838233,198,searchProductByName-58,403,Forbidden,Thread Group 1-3,text,false,,428,568,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=7&layered_price_slider=26_28&orderby=name&orderway=desctrue&_=1625726707731,198,0,0
1626155842804,271,SelectCategory-69,403,Forbidden,Thread Group 1-4,text,false,,428,608,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754343,271,0,0
1626155845876,208,SearchProductByName-59,403,Forbidden,Thread Group 1-1,text,false,,428,593,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?layered_manufacturer_1=1&id_category_layered=7&layered_price_slider=26_28&orderby=name&orderway=desctrue&_=1625726707732,208,0,0
1626155848334,203,searchProductByName-58,403,Forbidden,Thread Group 1-4,text,false,,428,568,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=7&layered_price_slider=26_28&orderby=name&orderway=desctrue&_=1625726707731,203,0,0
1626155848534,309,SelectCategory-69,403,Forbidden,Thread Group 1-5,text,false,,428,608,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754343,309,0,0
1626155855706,205,searchProductByName-58,403,Forbidden,Thread Group 1-5,text,false,,428,568,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=7&layered_price_slider=26_28&orderby=name&orderway=desctrue&_=1625726707731,205,0,0
1626155855908,206,SearchProductByName-59,403,Forbidden,Thread Group 1-2,text,false,,428,593,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?layered_manufacturer_1=1&id_category_layered=7&layered_price_slider=26_28&orderby=name&orderway=desctrue&_=1625726707732,206,0,0
1626155866972,211,SearchProductByName-59,403,Forbidden,Thread Group 1-3,text,false,,428,593,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?layered_manufacturer_1=1&id_category_layered=7&layered_price_slider=26_28&orderby=name&orderway=desctrue&_=1625726707732,211,0,0
1626155880895,208,SearchProductByName-59,403,Forbidden,Thread Group 1-4,text,false,,428,593,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?layered_manufacturer_1=1&id_category_layered=7&layered_price_slider=26_28&orderby=name&orderway=desctrue&_=1625726707732,208,0,0
1626155886016,207,SearchProductByName-59,403,Forbidden,Thread Group 1-5,text,false,,428,593,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?layered_manufacturer_1=1&id_category_layered=7&layered_price_slider=26_28&orderby=name&orderway=desctrue&_=1625726707732,207,0,0
1626155906478,207,SelectCategory-68,403,Forbidden,Thread Group 1-1,text,false,,428,573,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754342,206,0,0
1626155910070,316,SearchProductByPrice-61,403,Forbidden,Thread Group 1-1,text,false,,428,594,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?layered_manufacturer_1=1&id_category_layered=7&layered_price_slider=26_28&orderby=price&orderway=desctrue&_=1625726707733,316,0,0
1626155914251,230,SelectCategory-68,403,Forbidden,Thread Group 1-2,text,false,,428,573,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754342,230,0,0
1626155917617,198,SearchProductByPrice-61,403,Forbidden,Thread Group 1-2,text,false,,428,594,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?layered_manufacturer_1=1&id_category_layered=7&layered_price_slider=26_28&orderby=price&orderway=desctrue&_=1625726707733,198,0,0
1626155921043,211,SelectCategory-68,403,Forbidden,Thread Group 1-3,text,false,,428,573,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754342,211,0,0
1626155924927,220,SearchProductByPrice-61,403,Forbidden,Thread Group 1-3,text,false,,428,594,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?layered_manufacturer_1=1&id_category_layered=7&layered_price_slider=26_28&orderby=price&orderway=desctrue&_=1625726707733,219,0,0
1626155934153,211,SelectCategory-68,403,Forbidden,Thread Group 1-4,text,false,,428,573,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754342,211,0,0
1626155939061,210,SearchProductByPrice-61,403,Forbidden,Thread Group 1-4,text,false,,428,594,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?layered_manufacturer_1=1&id_category_layered=7&layered_price_slider=26_28&orderby=price&orderway=desctrue&_=1625726707733,210,0,0
1626155939428,235,SelectCategory-68,403,Forbidden,Thread Group 1-5,text,false,,428,573,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754342,235,0,0
1626155944860,198,SearchProductByPrice-61,403,Forbidden,Thread Group 1-5,text,false,,428,594,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?layered_manufacturer_1=1&id_category_layered=7&layered_price_slider=26_28&orderby=price&orderway=desctrue&_=1625726707733,198,0,0
1626155969974,203,SelectCategory-68,403,Forbidden,Thread Group 1-1,text,false,,428,573,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754342,203,0,0
1626155976226,194,SelectCategory-68,403,Forbidden,Thread Group 1-2,text,false,,428,573,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754342,193,0,0
1626155982483,201,SelectCategory-68,403,Forbidden,Thread Group 1-3,text,false,,428,573,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754342,201,0,0
1626155994420,203,SelectCategory-69,403,Forbidden,Thread Group 1-1,text,false,,428,608,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754343,203,0,0
1626155994623,200,SelectCategoryByPrice-76,403,Forbidden,Thread Group 1-1,text,false,,428,569,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=8&layered_price_slider=16_53&orderby=price&orderway=desctrue&_=1625726822103,200,0,0
1626155994764,203,SelectCategory-68,403,Forbidden,Thread Group 1-4,text,false,,428,573,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754342,202,0,0
1626155998602,195,SelectCategory-68,403,Forbidden,Thread Group 1-5,text,false,,428,573,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754342,195,0,0
1626156001327,296,SelectCategory-69,403,Forbidden,Thread Group 1-2,text,false,,428,608,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754343,296,0,0
1626156001624,212,SelectCategoryByPrice-76,403,Forbidden,Thread Group 1-2,text,false,,428,569,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=8&layered_price_slider=16_53&orderby=price&orderway=desctrue&_=1625726822103,212,0,0
1626156007052,199,SelectCategory-70,403,Forbidden,Thread Group 1-1,text,false,,428,604,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=price&orderway=desctrue&_=1625726754344,199,0,0
1626156008856,199,SelectCategory-69,403,Forbidden,Thread Group 1-3,text,false,,428,608,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754343,199,0,0
1626156009056,198,SelectCategoryByPrice-76,403,Forbidden,Thread Group 1-3,text,false,,428,569,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=8&layered_price_slider=16_53&orderby=price&orderway=desctrue&_=1625726822103,198,0,0
1626156011852,197,SelectCategory-70,403,Forbidden,Thread Group 1-2,text,false,,428,604,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=price&orderway=desctrue&_=1625726754344,197,0,0
1626156018738,571,SelectCategory-69,403,Forbidden,Thread Group 1-4,text,false,,429,608,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754343,571,0,371
1626156019311,195,SelectCategoryByPrice-76,403,Forbidden,Thread Group 1-4,text,false,,428,569,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=8&layered_price_slider=16_53&orderby=price&orderway=desctrue&_=1625726822103,195,0,0
1626156021119,267,SelectCategory-70,403,Forbidden,Thread Group 1-3,text,false,,428,604,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=price&orderway=desctrue&_=1625726754344,267,0,0
1626156022913,418,SelectCategory-69,403,Forbidden,Thread Group 1-5,text,false,,429,608,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=reference&orderway=desctrue&_=1625726754343,418,0,214
1626156023332,307,SelectCategoryByPrice-76,403,Forbidden,Thread Group 1-5,text,false,,428,569,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=8&layered_price_slider=16_53&orderby=price&orderway=desctrue&_=1625726822103,307,0,0
1626156034187,203,SelectCategory-70,403,Forbidden,Thread Group 1-4,text,false,,428,604,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=price&orderway=desctrue&_=1625726754344,203,0,0
1626156039338,195,SelectCategory-70,403,Forbidden,Thread Group 1-5,text,false,,428,604,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=price&orderway=desctrue&_=1625726754344,195,0,0
1626156056191,195,SelectCategoryByPrice-76,403,Forbidden,Thread Group 1-1,text,false,,428,569,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=8&layered_price_slider=16_53&orderby=price&orderway=desctrue&_=1625726822103,195,0,0
1626156064497,196,SelectCategoryByPrice-76,403,Forbidden,Thread Group 1-2,text,false,,428,569,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=8&layered_price_slider=16_53&orderby=price&orderway=desctrue&_=1625726822103,196,0,0
1626156075770,414,SelectCategoryByPrice-76,403,Forbidden,Thread Group 1-3,text,false,,429,569,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=8&layered_price_slider=16_53&orderby=price&orderway=desctrue&_=1625726822103,414,0,203
1626156089584,205,SelectCategory-70,403,Forbidden,Thread Group 1-1,text,false,,428,604,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=price&orderway=desctrue&_=1625726754344,205,0,0
1626156093072,210,SelectCategoryByPrice-76,403,Forbidden,Thread Group 1-4,text,false,,428,569,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=8&layered_price_slider=16_53&orderby=price&orderway=desctrue&_=1625726822103,210,0,0
1626156098186,204,SelectCategory-70,403,Forbidden,Thread Group 1-2,text,false,,428,604,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=5&layered_id_attribute_group_13=13_3&layered_price_slider=16_17&orderby=price&orderway=desctrue&_=1625726754344,204,0,0
1626156099312,204,SelectCategoryByPrice-76,403,Forbidden,Thread Group 1-5,text,false,,428,569,5,5,http://automationpractice.com/modules/blocklayered/blocklayered-ajax.php?id_category_layered=8&layered_price_slider=16_53&orderby=price&orderway=desctrue&_=1625726822103,204,0,0
